HOUSEID,PERSONID,TRIPID,SEQ_TRIPID,VEHCASEID,FRSTHM,PARK,HHMEMDRV,TDWKND,TRAVDAY,LOOP_TRIP,DWELTIME,PUBTRANS,TRIPPURP,WHYFROM,WHYTRP1S,TRVLCMIN,STRTTIME,ENDTIME,TRPHHVEH,VEHID,TRPTRANS,NUMONTRP,ONTD_P1,ONTD_P2,ONTD_P3,ONTD_P4,ONTD_P5,ONTD_P6,ONTD_P7,ONTD_P8,ONTD_P9,ONTD_P10,NONHHCNT,HHACCCNT,WHODROVE,DRVR_FLG,PSGR_FLG,WHODROVE_IMP,PARK2_PAMOUNT,PARK2_PAYTYPE,PARK2,WHYTO,WALK,TRPMILES,WTTRDFIN,WTTRDFIN5D,WTTRDFIN2D,TDCASEID,VMT_MILE,GASPRICE,WHYTRP90,NUMADLT,HOMEOWN,RAIL,CENSUS_D,CENSUS_R,HH_HISP,DRVRCNT,CDIVMSAR,HHFAMINC,HH_RACE,HHSIZE,HHVEHCNT,LIF_CYC,MSACAT,MSASIZE,URBAN,URBANSIZE,URBRUR,TDAYDATE,WRKCOUNT,STRATUMID,R_AGE,R_SEX,WORKER,DRIVER,R_RACE,R_HISP,PROXY,EDUC,PRMACT,R_SEX_IMP,VEHTYPE,HHFAMINC_IMP,OBHUR,DBHUR,TRIPMODE,OTHTNRNT,OTPPOPDN,OTRESDN,OTEEMPDN,OBHTNRNT,OBPPOPDN,OBRESDN,DTHTNRNT,DTPPOPDN,DTRESDN,DTEEMPDN,DBHTNRNT,DBPPOPDN,DBRESDN
9000017571,1,1,1,900001757103,1,2,1,2,4,2,360,2,1,1,10,60,600,700,1,3,1,1,1,2,2,2,-1,-1,-1,-1,-1,-1,0,1,1,1,2,1,-1,-1,-1,3,1,21.8955873213176,10987410.1779126,9034255.89513487,0.0,90000175710101,21.8955873213176,337.7,1,3,3,2,7,3,1,2,72,6,1,4,3,6,2,5,1,3,1,202203,0,1033,41,1,2,1,1,1,1,4,2,1,1,6,4,4,1,20,5,4,6,50,5,4,20,4,3,5,5,4,2
9000017571,1,2,2,900001757103,1,2,1,2,4,2,-9,2,1,3,1,60,1300,1400,1,3,1,1,1,2,2,2,-1,-1,-1,-1,-1,-1,0,1,1,1,2,1,-1,-1,-1,1,1,21.8129272840273,10987410.1779126,9034255.89513487,0.0,90000175710102,21.8129272840273,337.7,1,3,3,2,7,3,1,2,72,6,1,4,3,6,2,5,1,3,1,202203,0,1033,41,1,2,1,1,1,1,4,2,1,1,6,4,4,1,20,4,3,5,5,4,2,20,5,4,6,50,5,4
9000017571,2,1,1,900001757101,1,2,1,2,4,2,0,2,4,1,70,5,720,725,1,1,1,1,2,1,2,2,-1,-1,-1,-1,-1,-1,0,1,2,1,2,2,-1,-1,-1,10,1,1.88688626476072,9714545.8557185,8070604.42389603,0.0,90000175710201,1.88688626476072,337.7,4,3,3,2,7,3,1,2,72,6,1,4,3,6,2,5,1,3,1,202203,0,1033,41,2,2,1,1,1,1,6,3,2,1,6,4,4,1,20,5,4,6,50,5,4,20,6,4,7,20,5,4
9000017571,2,2,2,900001757101,1,2,1,2,4,2,440,2,4,10,1,5,725,730,1,1,1,1,2,1,2,2,-1,-1,-1,-1,-1,-1,0,1,2,1,2,2,-1,-1,-1,1,1,2.06215040397763,9714545.8557185,8070604.42389603,0.0,90000175710202,2.06215040397763,337.7,4,3,3,2,7,3,1,2,72,6,1,4,3,6,2,5,1,3,1,202203,0,1033,41,2,2,1,1,1,1,6,3,2,1,6,4,4,1,20,6,4,7,20,5,4,20,5,4,6,50,5,4
9000017571,2,3,3,900001757101,1,2,1,2,4,2,10,2,4,1,70,10,1450,1500,1,1,1,1,2,1,2,2,-1,-1,-1,-1,-1,-1,0,1,2,1,2,2,-1,-1,-1,10,1,1.88688626476072,9714545.8557185,8070604.42389603,0.0,90000175710203,1.88688626476072,337.7,4,3,3,2,7,3,1,2,72,6,1,4,3,6,2,5,1,3,1,202203,0,1033,41,2,2,1,1,1,1,6,3,2,1,6,4,4,1,20,5,4,6,50,5,4,20,6,4,7,20,5,4
9000017571,2,4,4,900001757101,1,2,1,2,4,2,-9,2,4,10,1,10,1510,1520,1,1,1,2,2,1,2,1,-1,-1,-1,-1,-1,-1,0,2,2,1,2,2,-1,-1,-1,1,1,2.06215040397763,9714545.8557185,8070604.42389603,0.0,90000175710204,2.06215040397763,337.7,4,3,3,2,7,3,1,2,72,6,1,4,3,6,2,5,1,3,1,202203,0,1033,41,2,2,1,1,1,1,6,3,2,1,6,4,4,1,20,6,4,7,20,5,4,20,5,4,6,50,5,4
9000017571,3,1,1,-1,1,-1,-1,2,4,2,480,2,4,1,20,25,820,845,2,-1,9,20,2,2,1,2,-1,-1,-1,-1,-1,-1,19,1,-1,-1,-1,-1,-1,-1,-1,6,-1,3.0994406463642,23146425.3238188,18195618.5315697,0.0,90000175710301,-1.0,337.7,5,3,3,2,7,3,1,2,72,6,1,4,3,6,2,5,1,3,1,202203,0,1033,18,2,2,2,1,1,1,2,4,2,-1,6,4,2,4,20,5,4,6,50,5,4,30,4,2,5,60,5,4
9000017571,3,2,2,-1,1,-1,-1,2,4,2,-9,2,4,6,1,15,1645,1700,2,-1,9,20,2,2,1,2,-1,-1,-1,-1,-1,-1,19,1,-1,-1,-1,-1,-1,-1,-1,1,-9,3.20136730888751,23146425.3238188,18195618.5315697,0.0,90000175710302,-1.0,337.7,5,3,3,2,7,3,1,2,72,6,1,4,3,6,2,5,1,3,1,202203,0,1033,18,2,2,2,1,1,1,2,4,2,-1,6,2,4,4,30,4,2,5,60,5,4,20,5,4,6,50,5,4
9000017571,4,1,1,900001757101,1,-1,-9,2,4,2,465,2,4,1,20,15,720,735,1,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,-1,0,1,-9,2,1,-9,-1,-1,-1,6,-1,1.88688626476072,13935127.3133293,10846479.2292833,0.0,90000175710401,-1.0,337.7,5,3,3,2,7,3,1,2,72,6,1,4,3,6,2,5,1,3,1,202203,0,1033,8,1,-1,-1,1,1,2,-1,-1,1,1,6,4,4,2,20,5,4,6,50,5,4,20,6,4,7,20,5,4
9000017571,4,2,2,900001757101,1,-1,-9,2,4,2,-9,2,4,6,1,5,1520,1525,1,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,-1,0,1,-9,2,1,-9,-1,-1,-1,1,-9,2.06215040397763,13935127.3133293,10846479.2292833,0.0,90000175710402,-1.0,337.7,5,3,3,2,7,3,1,2,72,6,1,4,3,6,2,5,1,3,1,202203,0,1033,8,1,-1,-1,1,1,2,-1,-1,1,1,6,4,4,2,20,6,4,7,20,5,4,20,5,4,6,50,5,4
