gemeentenaam,gemeentecode,mate_van_stedelijkheid,omgevingsadressendichtheid
Appingedam,GM0003,3,1067
Delfzijl,GM0010,4,673
Groningen,GM0014,1,3219
Loppersum,GM0024,5,213
Almere,GM0034,2,1601
Stadskanaal,GM0037,4,837
Veendam,GM0047,3,1001
Zeewolde,GM0050,4,806
Achtkarspelen,GM0059,5,427
Ameland,GM0060,5,253
Harlingen,GM0072,3,1040
Heerenveen,GM0074,3,1090
Leeuwarden,GM0080,2,2082
Ooststellingwerf,GM0085,5,482
Opsterland,GM0086,5,403
Schiermonnikoog,GM0088,5,317
Smallingerland,GM0090,3,1340
Terschelling,GM0093,5,248
Vlieland,GM0096,5,204
Weststellingwerf,GM0098,4,677
Assen,GM0106,2,1531
Coevorden,GM0109,4,502
Emmen,GM0114,4,850
Hoogeveen,GM0118,3,1202
Meppel,GM0119,3,1267
Almelo,GM0141,2,1589
Borne,GM0147,3,1225
Dalfsen,GM0148,4,500
Deventer,GM0150,2,1792
Enschede,GM0153,2,2126
Haaksbergen,GM0158,3,1026
Hardenberg,GM0160,4,550
Hellendoorn,GM0163,4,807
Hengelo,GM0164,2,1828
Kampen,GM0166,3,1464
Losser,GM0168,4,741
Noordoostpolder,GM0171,4,741
Oldenzaal,GM0173,3,1454
Ommen,GM0175,5,497
Raalte,GM0177,4,663
Staphorst,GM0180,5,355
Tubbergen,GM0183,5,282
Urk,GM0184,3,1064
Wierden,GM0189,4,700
Zwolle,GM0193,2,2025
Aalten,GM0197,4,782
Apeldoorn,GM0200,2,1734
Arnhem,GM0202,2,2168
Barneveld,GM0203,4,865
Beuningen,GM0209,4,997
Brummen,GM0213,4,763
Buren,GM0214,5,277
Culemborg,GM0216,3,1460
Doesburg,GM0221,4,860
Doetinchem,GM0222,3,1136
Druten,GM0225,4,802
Duiven,GM0226,3,1155
Ede,GM0228,2,1552
Elburg,GM0230,4,666
Epe,GM0232,4,732
Ermelo,GM0233,4,881
Harderwijk,GM0243,2,1519
Hattem,GM0244,4,832
Heerde,GM0246,4,609
Heumen,GM0252,4,796
Lochem,GM0262,4,594
Maasdriel,GM0263,5,484
Nijkerk,GM0267,3,1111
Nijmegen,GM0268,2,2390
Oldebroek,GM0269,4,639
Putten,GM0273,4,901
Renkum,GM0274,4,907
Rheden,GM0275,3,1452
Rozendaal,GM0277,4,935
Scherpenzeel,GM0279,4,911
Tiel,GM0281,3,1421
Voorst,GM0285,4,584
Wageningen,GM0289,2,1999
Westervoort,GM0293,3,1150
Winterswijk,GM0294,3,1196
Wijchen,GM0296,3,1229
Zaltbommel,GM0297,4,671
Zevenaar,GM0299,3,1043
Zutphen,GM0301,2,1633
Nunspeet,GM0302,4,785
Dronten,GM0303,4,761
Amersfoort,GM0307,2,2293
Baarn,GM0308,2,1590
De Bilt,GM0310,3,1255
Bunnik,GM0312,4,659
Bunschoten,GM0313,3,1174
Eemnes,GM0317,4,924
Houten,GM0321,2,1518
Leusden,GM0327,3,1243
Lopik,GM0331,5,366
Montfoort,GM0335,4,747
Renswoude,GM0339,5,480
Rhenen,GM0340,4,918
Soest,GM0342,3,1471
Utrecht,GM0344,1,3394
Veenendaal,GM0345,2,2197
Woudenberg,GM0351,4,948
Wijk bij Duurstede,GM0352,3,1114
IJsselstein,GM0353,2,1854
Zeist,GM0355,2,1575
Nieuwegein,GM0356,2,1931
Aalsmeer,GM0358,4,921
Alkmaar,GM0361,2,2256
Amstelveen,GM0362,2,2492
Amsterdam,GM0363,1,6057
Beemster,GM0370,4,621
Bergen (NH.),GM0373,4,817
Beverwijk,GM0375,1,2724
Blaricum,GM0376,3,1067
Bloemendaal,GM0377,3,1075
Castricum,GM0383,3,1335
Diemen,GM0384,1,2518
Edam-Volendam,GM0385,3,1299
Enkhuizen,GM0388,3,1389
Haarlem,GM0392,1,3524
Haarlemmermeer,GM0394,2,1524
Heemskerk,GM0396,2,2328
Heemstede,GM0397,2,1760
Heerhugowaard,GM0398,2,1682
Heiloo,GM0399,3,1312
